3421	1.412	1.01
4719	1.579	0.32
4884	1.65	0.31
4885	1.64	0.28
4889	1.656	0.27
4890	1.635	0.29
4894	1.659	0.31
4896	1.635	0.33
4901	1.633	0.32
5046	1.621	0.26
9952	1.325	0.6
10009	1.328	0.42
10020	1.312	0.42
10069	1.344	0.28
10136	1.318	0.48
10145	1.311    .01
10204	1.336	0.36
10221	1.332	0.36
10294	1.346	0.6
10330	1.325	0.42
10352	1.355	0.42
10370	1.348	0.32
10394	1.349	1.01
10398	1.353	0.42
10413	1.341	1.01
10468	1.352	0.48
10495	1.333	0.6
10499	1.33	0.48
10527	1.342	0.6
10536	1.347	0.6
10567	1.353	0.6
10572	1.356	0.42
10587	1.358	0.34
10594	1.376	0.36
10618	1.381	0.42
10630	1.348	1.01
10644	1.365	0.36
10657	1.358	0.33
10664	1.385	0.6
10692	1.351	0.6
10740	1.40	0.42
10782	1.36	0.32
10783	1.39	0.36
10787	1.393	0.31
10796	1.403	0.36
10805	1.383	0.33
10822	1.378	0.6
10828	1.392	0.36
10831	1.363	0.48
10873	1.384	0.48
10894	1.399	0.42
10898	1.411	0.42
10907	1.386	0.6
10922	1.411	0.42
10940	1.408	0.33
10942	1.388	0.48
10961	1.413	0.36
10974	1.41	0.33
10981	1.407	0.42
10993	1.413	0.34
11072	1.421	0.36
11086	1.424	0.42
11098	1.428	0.28
11109	1.425	0.42
11121	1.27	0.28
11318	1.406    .70
11324	1.459	0.6
11376	1.511	0.42
11444	1.465	0.31
11496	1.472	0.36
11507	1.464	0.42
11537	1.462	0.48
11550	1.537	0.33
11567	1.468	0.29
11570	1.485	0.6
11574	1.471	0.29
11584	1.480    .48
11602	1.473	0.29
11604	1.488	0.31
11609	1.492	0.36
11611	1.488	0.48
11634	1.481    .01
11636	1.482	0.6
11716	1.500    .3
11717	1.501	0.42
11727	1.498	0.42
11757	1.501	0.6
11780	1.506	0.36
11781	1.513	0.48
11785	1.505	0.28
11790	1.504	0.48
11791	1.508	0.42
11800	1.517	0.39
11825	1.519	0.33
11829	1.514	0.34
11830	1.518	0.34
11832	1.531	0.6
11870	1.533	0.34
11879	1.54	0.31
11887	1.543	0.6
11898	1.544	0.36
11907	1.552	0.42
11933	1.56	0.32
11940	1.562	0.3
11946	1.547	0.25
11948	1.569	0.32
11949	1.579	0.31
11983	1.573	0.33
11985	1.564	0.48
12018	1.587	0.33
12051	1.578	0.34
12076	1.592	0.39
12078	1.61	0.34
12098	1.63	0.28
12108	1.658	0.28
12115	1.606	0.28
12116	1.611	0.34
12134	1.598	0.28
12136	1.632	0.28
12141	1.657	0.28
12145	1.675	0.23
12146	1.586	0.48
12154	1.607	0.25
12159	1.59	0.34
12174	1.632	0.36
12189	1.672	0.28
12202	1.612	0.31
12255	1.605	0.31
12259	1.609	0.28
12270	1.68	0.29
12300	1.678	0.28
12301	1.634	0.42
12325	1.679	0.26
12364	1.682	0.22
12365	1.682	0.31
12387	1.679	0.25
12396	1.678	0.24
12410	1.68	0.26
12424	1.681	0.26
12446	1.685	0.27
12462	1.686	0.31
12518	1.686	0.24
