3421	1.474
4719	0.819
4884	0.720
4885	0.000
4889	2.450
4890	1.708
4894	0.003
4896	0.000
4901	1.562
5046	0.785
9952	0.000
10009	1.285
10020	0.399
10069	1.376
10136	0.000
10145	0.025
10204	1.768
10221	0.018
10294	0.000
10330	1.928
10352	0.000
10370	1.430
10394	0.030
10398	0.000
10413	0.290
10468	0.000
10495	0.436
10499	0.003
10527	0.016
10536	0.000
10567	0.000
10572	0.027
10587	0.023
10594	0.000
10618	2.003
10630	0.007
10644	0.637
10657	3.120
10664	3.699
10692	0.026
10740	1.981
10782	0.000
10783	0.011
10787	0.015
10796	0.022
10805	1.993
10822	2.464
10828	0.000
10831	0.000
10873	3.911
10894	2.876
10898	3.683
10907	2.115
10922	1.454
10940	0.026
10942	0.029
10961	0.006
10974	2.155
10981	0.029
10993	0.000
11072	0.027
11086	0.029
11098	0.001
11109	0.029
11121	0.991
11318	0.000
11324	0.028
11376	1.603
11444	0.814
11496	0.576
11507	2.534
11537	1.081
11550	0.511
11567	0.028
11570	0.000
11574	0.000
11584	0.200
11602	0.029
11604	0.000
11609	0.000
11611	0.000
11634	0.000
11636	0.000
11716	0.008
11717	0.000
11727	0.022
11757	0.000
11780	0.492
11781	0.627
11785	0.115
11790	0.000
11791	0.000
11800	0.001
11825	0.000
11829	0.002
11830	0.000
11832	0.021
11870	0.027
11879	0.000
11887	0.022
11898	0.000
11907	0.263
11933	0.056
11940	0.000
11946	0.000
11948	0.000
11949	0.003
11983	0.028
11985	0.000
12018	0.011
12051	0.504
12076	0.000
12078	0.000
12098	0.002
12108	0.000
12115	0.043
12116	0.000
12134	0.029
12136	0.030
12141	0.005
12145	0.236
12146	0.000
12154	0.000
12159	0.026
12174	0.000
12189	0.028
12202	0.017
12255	0.000
12259	0.000
12270	0.136
12300	0.000
12301	0.028
12325	0.000
12364	0.040
12365	0.002
12387	0.065
12396	0.026
12410	0.048
12424	0.023
12446	0.001
12462	0.000
12518	0.023
