3421	1.420
4719	0.754
4884	0.657
4885	0.000
4889	2.395
4890	1.654
4894	0.003
4896	0.000
4901	1.509
5046	0.719
9952	0.000
10009	1.232
10020	0.333
10069	1.312
10136	0.000
10145	0.010
10204	1.707
10221	0.000
10294	0.000
10330	1.865
10352	0.000
10370	1.366
10394	0.028
10398	0.000
10413	0.236
10468	0.000
10495	0.374
10499	0.003
10527	0.012
10536	0.000
10567	0.000
10572	0.021
10587	0.020
10594	0.000
10618	1.941
10630	0.019
10644	0.576
10657	3.059
10664	3.637
10692	0.021
10740	1.919
10782	0.002
10783	0.004
10787	0.014
10796	0.018
10805	1.930
10822	2.402
10828	0.000
10831	0.000
10873	3.849
10894	2.815
10898	3.622
10907	2.054
10922	1.392
10940	0.021
10942	0.025
10961	0.005
10974	2.093
10981	0.028
10993	0.000
11072	0.020
11086	0.027
11098	0.015
11109	0.021
11121	0.929
11318	0.000
11324	0.025
11376	1.549
11444	0.758
11496	0.513
11507	2.474
11537	1.028
11550	0.458
11567	0.020
11570	0.000
11574	0.000
11584	0.137
11602	0.025
11604	0.000
11609	0.000
11611	0.002
11634	0.000
11636	0.000
11716	0.020
11717	0.000
11727	0.011
11757	0.000
11780	0.429
11781	0.574
11785	0.061
11790	0.000
11791	0.000
11800	0.000
11825	0.000
11829	0.003
11830	0.000
11832	0.017
11870	0.018
11879	0.000
11887	0.020
11898	0.001
11907	0.254
11933	0.024
11940	0.012
11946	0.000
11948	0.000
11949	0.000
11983	0.024
11985	0.008
12018	0.005
12051	0.489
12076	0.000
12078	0.000
12098	0.000
12108	0.000
12115	0.028
12116	0.000
12134	0.021
12136	0.027
12141	0.015
12145	0.206
12146	0.000
12154	0.000
12159	0.021
12174	0.000
12189	0.024
12202	0.000
12255	0.000
12259	0.000
12270	0.136
12300	0.000
12301	0.025
12325	0.000
12364	0.038
12365	0.000
12387	0.050
12396	0.022
12410	0.035
12424	0.015
12446	0.002
12462	0.000
12518	0.021
